"decision","total","relevance","viral_potential","neuropravo_fit","avatar_fit","title","hook","source_url"
"SKIP","8","4","0","0","4","Задержан мужчина за незаконную перевозку топлива для перепродажи","Задержан мужчина за незаконную перевозку топлива для перепродажи","https://t.me/BFMnews/71458"
"SKIP","8","2","0","2","4","Касперская о спешно принятом законе об ИИ","Касперская о спешно принятом законе об ИИ","https://t.me/BFMnews/71444"
"SKIP","8","0","0","4","4","Дуров раскритиковал европейский закон Chat Control","Дуров раскритиковал европейский закон Chat Control","https://t.me/BFMnews/71448"
"SKIP","8","2","0","2","4","Крым: бензин в наличии, очереди небольшие, но есть нюанс с ценами","Крым: бензин в наличии, очереди небольшие, но есть нюанс с ценами","https://t.me/BFMnews/71471"
"SKIP","8","2","0","2","4","Смерч в Башкирии: дома остались без света и газа","Смерч в Башкирии: дома остались без света и газа","https://t.me/BFMnews/71406"
"SKIP","6","0","0","2","4","Ограничения в аэропортах Внуково, Домодедово и Жуковский сняты","Ограничения в аэропортах Внуково, Домодедово и Жуковский сняты","https://t.me/BFMnews/71507"
"SKIP","6","0","2","0","4","Спор о мармеладе в виде червей и реакции Минпросвещения","Спор о мармеладе в виде червей и реакции Минпросвещения","https://t.me/BFMnews/71508"
"SKIP","6","2","0","0","4","Выиграл в Minecraft — поступил в вуз","Иногда сделку срывает не человек, а связь, которая решила, что вы проблема.","https://t.me/BFMnews/71512"
"SKIP","6","0","0","2","4","Более 40 тысяч жителей остались без электричества из-за урагана","Более 40 тысяч жителей остались без электричества из-за урагана","https://t.me/BFMnews/71494"
"SKIP","6","0","0","2","4","Есть ли предел у алиментов?","Есть ли предел у алиментов","https://t.me/BFMnews/71362"
